流水序,Unicode,常用字
00829,58e4,壤
00830,58e9,壩
00831,58eb,士
00832,58ec,壬
00833,58ef,壯
00834,58f9,壹
00835,58fa,壺
00836,58fd,壽
00837,590f,夏
00838,5914,夔
00839,5915,夕
00840,5916,外
00841,5919,夙
00842,591a,多
00843,591c,夜
00844,5920,夠
00845,5925,夥
00846,5922,夢
00847,5924,夤
00848,5927,大
00849,5929,天
00850,592b,夫
00851,592a,太
00852,592d,夭
00853,592e,央
00854,5931,失
00855,5937,夷
00856,5938,夸
00857,593e,夾
00858,5949,奉
00859,5947,奇
00860,5948,奈
00861,5944,奄
00862,5954,奔
00863,5955,奕
00864,5951,契
00865,594f,奏
00866,594e,奎
00867,5950,奐
00868,5957,套
00869,5958,奘
00870,595a,奚
00871,5962,奢
00872,5960,奠
00873,5967,奧
00874,596a,奪
00875,5969,奩
00876,596e,奮
00877,5973,女
00878,5974,奴
00879,5976,奶
00880,5984,妄
00881,5978,奸
00882,5983,妃
00883,597d,好
00884,5979,她
00885,5982,如
00886,5981,妁
00887,599d,妝
00888,5992,妒
00889,59a8,妨
00890,599e,妞
00891,59a3,妣
00892,5999,妙
00893,5996,妖
00894,598d,妍
00895,59a4,妤
00896,5993,妓
00897,598a,妊
00898,59a5,妥
00899,59be,妾
00900,59bb,妻
00901,59d4,委
00902,59b9,妹
00903,59ae,妮
00904,59d1,姑
00905,59c6,姆
00906,59d0,姐
00907,59cd,姍
00908,59cb,始
00909,59d3,姓
00910,59ca,姊
00911,59af,妯
00912,59b3,妳
00913,59d2,姒
00914,59dc,姜
00915,59d8,姘
00916,59ff,姿
00917,59e3,姣
00918,59e8,姨
00919,5a03,娃
00920,59e5,姥
00921,59ea,姪
00922,59da,姚
00923,59e6,姦
00924,5a01,威
00925,59fb,姻
00926,5a11,娑
00927,5a18,娘
00928,5a1c,娜
00929,5a1f,娟
00930,5a1b,娛
00931,5a13,娓
00932,59ec,姬
00933,5a20,娠
00934,5a23,娣
00935,5a29,娩
00936,5a25,娥
00937,5a0c,娌
00938,5a36,娶
00939,5a41,婁
00940,5a49,婉
00941,5a66,婦
00942,5a6a,婪
00943,5a40,婀
00944,5a3c,娼
00945,5a62,婢
00946,5a5a,婚
00947,5a46,婆
00948,5a4a,婊
00949,5a77,婷
00950,5a9a,媚
00951,5a7f,婿
00952,5a92,媒
00953,5a9b,媛
00954,5ac1,嫁
00955,5ac9,嫉
00956,5acc,嫌
00957,5abe,媾
00958,5abd,媽
00959,5abc,媼
00960,5ab3,媳
00961,5ac2,嫂
00962,5ab2,媲
00963,5ae1,嫡
00964,5ae6,嫦
00965,5ae9,嫩
00966,5ad7,嫗
00967,5ad6,嫖
00968,5ad8,嫘
00969,5ae3,嫣
00970,5b09,嬉
00971,5afb,嫻
00972,5b0b,嬋
00973,5af5,嫵
00974,5b0c,嬌
00975,5b1d,嬝
00976,5b34,嬴
00977,5b30,嬰
00978,5b2a,嬪
00979,5b24,嬤
00980,5b38,嬸
00981,5b40,孀
00982,5b50,子
00983,5b51,孑
00984,5b53,孓
00985,5b54,孔
00986,5b55,孕
00987,5b57,字
00988,5b58,存
00989,5b5d,孝
00990,5b5c,孜
00991,5b5a,孚
00992,5b5f,孟
00993,5b64,孤
00994,5b63,季
00995,5b69,孩
00996,5b6b,孫
00997,5b70,孰
00998,5b73,孳
00999,5b71,孱
01000,5b75,孵
01001,5b78,學
01002,5b7a,孺
01003,5b7d,孽
01004,5b7f,孿
01005,5b83,它
01006,5b87,宇
01007,5b88,守
01008,5b85,宅
01009,5b89,安
01010,5b8c,完
01011,5b8b,宋
01012,5b8f,宏
01013,5b97,宗
01014,5b9a,定
01015,5b98,官
01016,5b9c,宜
01017,5b99,宙
01018,5b9b,宛
01019,5ba3,宣
01020,5ba6,宦
01021,5ba4,室
01022,5ba2,客
01023,5ba5,宥
01024,5bb0,宰
01025,5bb3,害
01026,5bb6,家
01027,5bb4,宴
01028,5bae,宮
01029,5bb5,宵
01030,5bb9,容
01031,5bb8,宸
01032,5bc7,寇
01033,5bc5,寅
01034,5bc4,寄
01035,5bc2,寂
01036,5bbf,宿
01037,5bc6,密
01038,5bd2,寒
01039,5bcc,富
01040,5bd3,寓
01041,5bd0,寐
01042,5bde,寞
01043,5be7,寧
01044,5be1,寡
01045,5be5,寥
01046,5be6,實
01047,5be8,寨
01048,5be2,寢
01049,5be4,寤
01050,5bdf,察
01051,5bee,寮
01052,5bec,寬
01053,5be9,審
01054,5beb,寫
01055,5bf5,寵
01056,5bf6,寶
01057,5bf8,寸
01058,5bfa,寺
01059,5c01,封
01060,5c04,射
01061,5c09,尉
01062,5c08,專
01063,5c07,將
01064,5c0a,尊
01065,5c0b,尋
01066,5c0d,對
01067,5c0e,導
01068,5c0f,小
01069,5c11,少
01070,5c16,尖
01071,5c1a,尚
01072,5c24,尤
01073,5c2c,尬
01074,5c31,就
01075,5c37,尷
01076,5c38,尸
01077,5c3a,尺
01078,5c3c,尼
01079,5c40,局
01080,5c41,屁
01081,5c3f,尿
01082,5c3e,尾
01083,5c48,屈
01084,5c45,居
01085,5c46,屆
01086,5c4e,屎
01087,5c4f,屏
01088,5c4d,屍
01089,5c4b,屋
01090,5c51,屑
01091,5c55,展
01092,5c50,屐
01093,5c60,屠
01094,5c5c,屜
01095,5c62,屢
01096,5c64,層
01097,5c65,履
01098,5c6c,屬
01099,5c6f,屯
01100,5c71,山
01101,5c79,屹
01102,5c90,岐
01103,5c91,岑
01104,5c94,岔
01105,5c8c,岌
01106,5cb7,岷
01107,5ca1,岡
01108,5cb8,岸
01109,5ca9,岩
01110,5cab,岫
01111,5cb1,岱
01112,5cb3,岳
01113,5cd9,峙
01114,5ced,峭
01115,5cfd,峽
01116,5cfb,峻
01117,5cea,峪
01118,5ce8,峨
01119,5cf0,峰
01120,5cf6,島
01121,5d01,崁
01122,5d07,崇
01123,5d06,崆
01124,5d0e,崎
01125,5d1b,崛
01126,5d16,崖
01127,5d22,崢
01128,5d11,崑
01129,5d29,崩
01130,5d14,崔
01131,5d19,崙
01132,5d4c,嵌
01133,5d50,嵐
01134,5d69,嵩
01135,5d84,嶄
01136,5d87,嶇
01137,5d9d,嶝
01138,5dbc,嶼
01139,5dba,嶺
01140,5dbd,嶽
01141,5dcd,巍
01142,5dd4,巔
01143,5dd2,巒
01144,5dd6,巖
01145,5ddd,川
01146,5dde,州
01147,5de2,巢
01148,5de5,工
01149,5de8,巨
01150,5de7,巧
01151,5de6,左
01152,5deb,巫
01153,5dee,差
01154,5df1,己
01155,5df2,已
01156,5df3,巳
01157,5df4,巴
01158,5df7,巷
01159,5dfd,巽
01160,5dfe,巾
01161,5e02,市
01162,5e03,布
01163,5e06,帆
01164,5e0c,希
01165,5e18,帘
01166,5e1a,帚
01167,5e16,帖
01168,5e15,帕
01169,5e1b,帛
01170,5e11,帑
01171,5e1d,帝
01172,5e25,帥
01173,5e2d,席
01174,5e2b,師
01175,5e38,常
01176,5e36,帶
01177,5e33,帳
01178,5e37,帷
01179,5e45,幅
01180,5e3d,帽
01181,5e40,幀
01182,5e4c,幌
01183,5e5b,幛
01184,5e63,幣
01185,5e55,幕
01186,5e57,幗
01187,5e54,幔
01188,5e62,幢
01189,5e5f,幟
01190,5e6b,幫
01191,5e72,干
01192,5e73,平
01193,5e76,并
01194,5e74,年
01195,5e78,幸
01196,5e79,幹
01197,5e7b,幻
01198,5e7c,幼
01199,5e7d,幽
01200,5e7e,幾
01201,5e8f,序
01202,5e87,庇
